Year,Сomponent of the index,Region,Age,Gender,Value
2020,readiness for dialogue with different groups,Dnipropetrovsk,18-35 years,,
2021,readiness for dialogue with different groups,Dnipropetrovsk,18-35 years,,
2022,readiness for dialogue with different groups,Dnipropetrovsk,18-35 years,,
2023,readiness for dialogue with different groups,Dnipropetrovsk,18-35 years,,
2017,readiness for dialogue with different groups,Dnipropetrovsk,36-60 years,,
2018,readiness for dialogue with different groups,Dnipropetrovsk,36-60 years,,
2019,readiness for dialogue with different groups,Dnipropetrovsk,36-60 years,,
2020,readiness for dialogue with different groups,Dnipropetrovsk,36-60 years,,
2021,readiness for dialogue with different groups,Dnipropetrovsk,36-59 years,,
2022,readiness for dialogue with different groups,Dnipropetrovsk,36-59 years,,
2023,readiness for dialogue with different groups,Dnipropetrovsk,36-59 years,,
2017,readiness for dialogue with different groups,Dnipropetrovsk,61 years and older,,
2018,readiness for dialogue with different groups,Dnipropetrovsk,61 years and older,,
2019,readiness for dialogue with different groups,Dnipropetrovsk,61 years and older,,
2020,readiness for dialogue with different groups,Dnipropetrovsk,61 years and older,,
2021,readiness for dialogue with different groups,Dnipropetrovsk,60 years and older,,
2022,readiness for dialogue with different groups,Dnipropetrovsk,60 years and older,,
2023,readiness for dialogue with different groups,Dnipropetrovsk,60 years and older,,
2017,readiness for dialogue with different groups,Dnipropetrovsk,,men,
2018,readiness for dialogue with different groups,Dnipropetrovsk,,men,
2019,readiness for dialogue with different groups,Dnipropetrovsk,,men,
2020,readiness for dialogue with different groups,Dnipropetrovsk,,men,
2021,readiness for dialogue with different groups,Dnipropetrovsk,,men,
2022,readiness for dialogue with different groups,Dnipropetrovsk,,men,
2023,readiness for dialogue with different groups,Dnipropetrovsk,,men,
2017,readiness for dialogue with different groups,Dnipropetrovsk,,women,
2018,readiness for dialogue with different groups,Dnipropetrovsk,,women,
2019,readiness for dialogue with different groups,Dnipropetrovsk,,women,
2020,readiness for dialogue with different groups,Dnipropetrovsk,,women,
2021,readiness for dialogue with different groups,Dnipropetrovsk,,women,
2022,readiness for dialogue with different groups,Dnipropetrovsk,,women,
2023,readiness for dialogue with different groups,Dnipropetrovsk,,women,
2017,readiness for dialogue with different groups,Zaporizhzhya,,,
2018,readiness for dialogue with different groups,Zaporizhzhya,,,
2019,readiness for dialogue with different groups,Zaporizhzhya,,,
2020,readiness for dialogue with different groups,Zaporizhzhya,,,
2021,readiness for dialogue with different groups,Zaporizhzhya,,,
2022,readiness for dialogue with different groups,Zaporizhzhya,,,
2023,readiness for dialogue with different groups,Zaporizhzhya,,,
2017,readiness for dialogue with different groups,Zaporizhzhya,18-35 years,,
2018,readiness for dialogue with different groups,Zaporizhzhya,18-35 years,,
2019,readiness for dialogue with different groups,Zaporizhzhya,18-35 years,,
2020,readiness for dialogue with different groups,Zaporizhzhya,18-35 years,,
2021,readiness for dialogue with different groups,Zaporizhzhya,18-35 years,,
2022,readiness for dialogue with different groups,Zaporizhzhya,18-35 years,,
2023,readiness for dialogue with different groups,Zaporizhzhya,18-35 years,,
2017,readiness for dialogue with different groups,Zaporizhzhya,36-60 years,,
2018,readiness for dialogue with different groups,Zaporizhzhya,36-60 years,,
2019,readiness for dialogue with different groups,Zaporizhzhya,36-60 years,,
2020,readiness for dialogue with different groups,Zaporizhzhya,36-60 years,,
2021,readiness for dialogue with different groups,Zaporizhzhya,36-59 years,,
2022,readiness for dialogue with different groups,Zaporizhzhya,36-59 years,,
2023,readiness for dialogue with different groups,Zaporizhzhya,36-59 years,,
2017,readiness for dialogue with different groups,Zaporizhzhya,61 years and older,,
2018,readiness for dialogue with different groups,Zaporizhzhya,61 years and older,,
2019,readiness for dialogue with different groups,Zaporizhzhya,61 years and older,,
2020,readiness for dialogue with different groups,Zaporizhzhya,61 years and older,,
2021,readiness for dialogue with different groups,Zaporizhzhya,60 years and older,,
2022,readiness for dialogue with different groups,Zaporizhzhya,60 years and older,,
2023,readiness for dialogue with different groups,Zaporizhzhya,60 years and older,,
2017,readiness for dialogue with different groups,Zaporizhzhya,,men,
2018,readiness for dialogue with different groups,Zaporizhzhya,,men,
2019,readiness for dialogue with different groups,Zaporizhzhya,,men,
2020,readiness for dialogue with different groups,Zaporizhzhya,,men,
2021,readiness for dialogue with different groups,Zaporizhzhya,,men,
2022,readiness for dialogue with different groups,Zaporizhzhya,,men,
2023,readiness for dialogue with different groups,Zaporizhzhya,,men,
2017,readiness for dialogue with different groups,Zaporizhzhya,,women,
2018,readiness for dialogue with different groups,Zaporizhzhya,,women,
2019,readiness for dialogue with different groups,Zaporizhzhya,,women,
2020,readiness for dialogue with different groups,Zaporizhzhya,,women,
2021,readiness for dialogue with different groups,Zaporizhzhya,,women,
2022,readiness for dialogue with different groups,Zaporizhzhya,,women,
2023,readiness for dialogue with different groups,Zaporizhzhya,,women,
2017,readiness for dialogue with different groups,Kharkiv,,,
2018,readiness for dialogue with different groups,Kharkiv,,,
2019,readiness for dialogue with different groups,Kharkiv,,,
2020,readiness for dialogue with different groups,Kharkiv,,,
2021,readiness for dialogue with different groups,Kharkiv,,,
2022,readiness for dialogue with different groups,Kharkiv,,,
2023,readiness for dialogue with different groups,Kharkiv,,,
2017,readiness for dialogue with different groups,Kharkiv,18-35 years,,
2018,readiness for dialogue with different groups,Kharkiv,18-35 years,,
2019,readiness for dialogue with different groups,Kharkiv,18-35 years,,
2020,readiness for dialogue with different groups,Kharkiv,18-35 years,,
2021,readiness for dialogue with different groups,Kharkiv,18-35 years,,
2022,readiness for dialogue with different groups,Kharkiv,18-35 years,,
2023,readiness for dialogue with different groups,Kharkiv,18-35 years,,
2017,readiness for dialogue with different groups,Kharkiv,36-60 years,,
2018,readiness for dialogue with different groups,Kharkiv,36-60 years,,
2019,readiness for dialogue with different groups,Kharkiv,36-60 years,,
2020,readiness for dialogue with different groups,Kharkiv,36-60 years,,
2021,readiness for dialogue with different groups,Kharkiv,36-59 years,,
2022,readiness for dialogue with different groups,Kharkiv,36-59 years,,
2023,readiness for dialogue with different groups,Kharkiv,36-59 years,,
2017,readiness for dialogue with different groups,Kharkiv,61 years and older,,
2018,readiness for dialogue with different groups,Kharkiv,61 years and older,,
2019,readiness for dialogue with different groups,Kharkiv,61 years and older,,
2020,readiness for dialogue with different groups,Kharkiv,61 years and older,,
2021,readiness for dialogue with different groups,Kharkiv,60 years and older,,
2022,readiness for dialogue with different groups,Kharkiv,60 years and older,,
2023,readiness for dialogue with different groups,Kharkiv,60 years and older,,
2017,readiness for dialogue with different groups,Kharkiv,,men,
2018,readiness for dialogue with different groups,Kharkiv,,men,
2019,readiness for dialogue with different groups,Kharkiv,,men,
2020,readiness for dialogue with different groups,Kharkiv,,men,
2021,readiness for dialogue with different groups,Kharkiv,,men,
2022,readiness for dialogue with different groups,Kharkiv,,men,
2023,readiness for dialogue with different groups,Kharkiv,,men,
2017,readiness for dialogue with different groups,Kharkiv,,women,
2018,readiness for dialogue with different groups,Kharkiv,,women,
2019,readiness for dialogue with different groups,Kharkiv,,women,
2020,readiness for dialogue with different groups,Kharkiv,,women,
2021,readiness for dialogue with different groups,Kharkiv,,women,
2022,readiness for dialogue with different groups,Kharkiv,,women,
2023,readiness for dialogue with different groups,Kharkiv,,women,
2017,the belief that everyone can influence changes in the country,Donetsk,,,
2018,the belief that everyone can influence changes in the country,Donetsk,,,
2019,the belief that everyone can influence changes in the country,Donetsk,,,
2020,the belief that everyone can influence changes in the country,Donetsk,,,
2021,the belief that everyone can influence changes in the country,Donetsk,,,5.0
2022,the belief that everyone can influence changes in the country,Donetsk,,,
2023,the belief that everyone can influence changes in the country,Donetsk,,,
2017,the belief that everyone can influence changes in the country,Donetsk,18-35 years,,
2018,the belief that everyone can influence changes in the country,Donetsk,18-35 years,,
2019,the belief that everyone can influence changes in the country,Donetsk,18-35 years,,
2020,the belief that everyone can influence changes in the country,Donetsk,18-35 years,,
2021,the belief that everyone can influence changes in the country,Donetsk,18-35 years,,5.5
2022,the belief that everyone can influence changes in the country,Donetsk,18-35 years,,
2023,the belief that everyone can influence changes in the country,Donetsk,18-35 years,,
2017,the belief that everyone can influence changes in the country,Donetsk,36-60 years,,
2018,the belief that everyone can influence changes in the country,Donetsk,36-60 years,,
2019,the belief that everyone can influence changes in the country,Donetsk,36-60 years,,
2020,the belief that everyone can influence changes in the country,Donetsk,36-60 years,,
2021,the belief that everyone can influence changes in the country,Donetsk,36-59 years,,5.0
2022,the belief that everyone can influence changes in the country,Donetsk,36-59 years,,
2023,the belief that everyone can influence changes in the country,Donetsk,36-59 years,,
2017,the belief that everyone can influence changes in the country,Donetsk,61 years and older,,
2018,the belief that everyone can influence changes in the country,Donetsk,61 years and older,,
2019,the belief that everyone can influence changes in the country,Donetsk,61 years and older,,
2020,the belief that everyone can influence changes in the country,Donetsk,61 years and older,,
2021,the belief that everyone can influence changes in the country,Donetsk,60 years and older,,4.8
2022,the belief that everyone can influence changes in the country,Donetsk,60 years and older,,
2023,the belief that everyone can influence changes in the country,Donetsk,60 years and older,,
2017,the belief that everyone can influence changes in the country,Donetsk,,men,
2018,the belief that everyone can influence changes in the country,Donetsk,,men,
2019,the belief that everyone can influence changes in the country,Donetsk,,men,
2020,the belief that everyone can influence changes in the country,Donetsk,,men,
2021,the belief that everyone can influence changes in the country,Donetsk,,men,5.2
2022,the belief that everyone can influence changes in the country,Donetsk,,men,
2023,the belief that everyone can influence changes in the country,Donetsk,,men,
2017,the belief that everyone can influence changes in the country,Donetsk,,women,
2018,the belief that everyone can influence changes in the country,Donetsk,,women,
2019,the belief that everyone can influence changes in the country,Donetsk,,women,
2020,the belief that everyone can influence changes in the country,Donetsk,,women,
2021,the belief that everyone can influence changes in the country,Donetsk,,women,4.9
2022,the belief that everyone can influence changes in the country,Donetsk,,women,
2023,the belief that everyone can influence changes in the country,Donetsk,,women,
2017,the belief that everyone can influence changes in the country,Luhansk,,,
2018,the belief that everyone can influence changes in the country,Luhansk,,,
2019,the belief that everyone can influence changes in the country,Luhansk,,,
2020,the belief that everyone can influence changes in the country,Luhansk,,,
2021,the belief that everyone can influence changes in the country,Luhansk,,,5.2
2022,the belief that everyone can influence changes in the country,Luhansk,,,
2023,the belief that everyone can influence changes in the country,Luhansk,,,
2017,the belief that everyone can influence changes in the country,Luhansk,18-35 years,,
2018,the belief that everyone can influence changes in the country,Luhansk,18-35 years,,
2019,the belief that everyone can influence changes in the country,Luhansk,18-35 years,,
2020,the belief that everyone can influence changes in the country,Luhansk,18-35 years,,
2021,the belief that everyone can influence changes in the country,Luhansk,18-35 years,,6.1
2022,the belief that everyone can influence changes in the country,Luhansk,18-35 years,,
2023,the belief that everyone can influence changes in the country,Luhansk,18-35 years,,
2017,the belief that everyone can influence changes in the country,Luhansk,36-60 years,,
2018,the belief that everyone can influence changes in the country,Luhansk,36-60 years,,
2019,the belief that everyone can influence changes in the country,Luhansk,36-60 years,,
2020,the belief that everyone can influence changes in the country,Luhansk,36-60 years,,
2021,the belief that everyone can influence changes in the country,Luhansk,36-59 years,,5.3
2022,the belief that everyone can influence changes in the country,Luhansk,36-59 years,,
2023,the belief that everyone can influence changes in the country,Luhansk,36-59 years,,
2017,the belief that everyone can influence changes in the country,Luhansk,61 years and older,,
2018,the belief that everyone can influence changes in the country,Luhansk,61 years and older,,
2019,the belief that everyone can influence changes in the country,Luhansk,61 years and older,,
2020,the belief that everyone can influence changes in the country,Luhansk,61 years and older,,
2021,the belief that everyone can influence changes in the country,Luhansk,60 years and older,,4.4
2022,the belief that everyone can influence changes in the country,Luhansk,60 years and older,,
2023,the belief that everyone can influence changes in the country,Luhansk,60 years and older,,
2017,the belief that everyone can influence changes in the country,Luhansk,,men,
2018,the belief that everyone can influence changes in the country,Luhansk,,men,
2019,the belief that everyone can influence changes in the country,Luhansk,,men,
2020,the belief that everyone can influence changes in the country,Luhansk,,men,
2021,the belief that everyone can influence changes in the country,Luhansk,,men,5.5
2022,the belief that everyone can influence changes in the country,Luhansk,,men,
2023,the belief that everyone can influence changes in the country,Luhansk,,men,
2017,the belief that everyone can influence changes in the country,Luhansk,,women,
2018,the belief that everyone can influence changes in the country,Luhansk,,women,
2019,the belief that everyone can influence changes in the country,Luhansk,,women,
2020,the belief that everyone can influence changes in the country,Luhansk,,women,
2021,the belief that everyone can influence changes in the country,Luhansk,,women,5.0
2022,the belief that everyone can influence changes in the country,Luhansk,,women,
2023,the belief that everyone can influence changes in the country,Luhansk,,women,
2017,the belief that everyone can influence changes in the country,Dnipropetrovsk,,,
2018,the belief that everyone can influence changes in the country,Dnipropetrovsk,,,
2019,the belief that everyone can influence changes in the country,Dnipropetrovsk,,,
2020,the belief that everyone can influence changes in the country,Dnipropetrovsk,,,
2021,the belief that everyone can influence changes in the country,Dnipropetrovsk,,,
2022,the belief that everyone can influence changes in the country,Dnipropetrovsk,,,
2023,the belief that everyone can influence changes in the country,Dnipropetrovsk,,,
2017,the belief that everyone can influence changes in the country,Dnipropetrovsk,18-35 years,,
2018,the belief that everyone can influence changes in the country,Dnipropetrovsk,18-35 years,,
2019,the belief that everyone can influence changes in the country,Dnipropetrovsk,18-35 years,,
2020,the belief that everyone can influence changes in the country,Dnipropetrovsk,18-35 years,,
2021,the belief that everyone can influence changes in the country,Dnipropetrovsk,18-35 years,,
2022,the belief that everyone can influence changes in the country,Dnipropetrovsk,18-35 years,,
2023,the belief that everyone can influence changes in the country,Dnipropetrovsk,18-35 years,,
2017,the belief that everyone can influence changes in the country,Dnipropetrovsk,36-60 years,,
2018,the belief that everyone can influence changes in the country,Dnipropetrovsk,36-60 years,,
2019,the belief that everyone can influence changes in the country,Dnipropetrovsk,36-60 years,,
2020,the belief that everyone can influence changes in the country,Dnipropetrovsk,36-60 years,,
2021,the belief that everyone can influence changes in the country,Dnipropetrovsk,36-59 years,,
2022,the belief that everyone can influence changes in the country,Dnipropetrovsk,36-59 years,,
2023,the belief that everyone can influence changes in the country,Dnipropetrovsk,36-59 years,,
2017,the belief that everyone can influence changes in the country,Dnipropetrovsk,61 years and older,,
2018,the belief that everyone can influence changes in the country,Dnipropetrovsk,61 years and older,,
2019,the belief that everyone can influence changes in the country,Dnipropetrovsk,61 years and older,,
2020,the belief that everyone can influence changes in the country,Dnipropetrovsk,61 years and older,,
2021,the belief that everyone can influence changes in the country,Dnipropetrovsk,60 years and older,,
2022,the belief that everyone can influence changes in the country,Dnipropetrovsk,60 years and older,,
2023,the belief that everyone can influence changes in the country,Dnipropetrovsk,60 years and older,,
2017,the belief that everyone can influence changes in the country,Dnipropetrovsk,,men,
2018,the belief that everyone can influence changes in the country,Dnipropetrovsk,,men,
2019,the belief that everyone can influence changes in the country,Dnipropetrovsk,,men,
2020,the belief that everyone can influence changes in the country,Dnipropetrovsk,,men,
2021,the belief that everyone can influence changes in the country,Dnipropetrovsk,,men,
2022,the belief that everyone can influence changes in the country,Dnipropetrovsk,,men,
2023,the belief that everyone can influence changes in the country,Dnipropetrovsk,,men,
2017,the belief that everyone can influence changes in the country,Dnipropetrovsk,,women,
2018,the belief that everyone can influence changes in the country,Dnipropetrovsk,,women,
2019,the belief that everyone can influence changes in the country,Dnipropetrovsk,,women,
2020,the belief that everyone can influence changes in the country,Dnipropetrovsk,,women,
2021,the belief that everyone can influence changes in the country,Dnipropetrovsk,,women,
2022,the belief that everyone can influence changes in the country,Dnipropetrovsk,,women,
2023,the belief that everyone can influence changes in the country,Dnipropetrovsk,,women,
2017,the belief that everyone can influence changes in the country,Zaporizhzhya,,,
2018,the belief that everyone can influence changes in the country,Zaporizhzhya,,,
2019,the belief that everyone can influence changes in the country,Zaporizhzhya,,,
2020,the belief that everyone can influence changes in the country,Zaporizhzhya,,,
2021,the belief that everyone can influence changes in the country,Zaporizhzhya,,,
2022,the belief that everyone can influence changes in the country,Zaporizhzhya,,,
2023,the belief that everyone can influence changes in the country,Zaporizhzhya,,,
2017,the belief that everyone can influence changes in the country,Zaporizhzhya,18-35 years,,
2018,the belief that everyone can influence changes in the country,Zaporizhzhya,18-35 years,,
2019,the belief that everyone can influence changes in the country,Zaporizhzhya,18-35 years,,
2020,the belief that everyone can influence changes in the country,Zaporizhzhya,18-35 years,,
2021,the belief that everyone can influence changes in the country,Zaporizhzhya,18-35 years,,
2022,the belief that everyone can influence changes in the country,Zaporizhzhya,18-35 years,,
2023,the belief that everyone can influence changes in the country,Zaporizhzhya,18-35 years,,
2017,the belief that everyone can influence changes in the country,Zaporizhzhya,36-60 years,,
2018,the belief that everyone can influence changes in the country,Zaporizhzhya,36-60 years,,
2019,the belief that everyone can influence changes in the country,Zaporizhzhya,36-60 years,,
2020,the belief that everyone can influence changes in the country,Zaporizhzhya,36-60 years,,
2021,the belief that everyone can influence changes in the country,Zaporizhzhya,36-59 years,,
2022,the belief that everyone can influence changes in the country,Zaporizhzhya,36-59 years,,
2023,the belief that everyone can influence changes in the country,Zaporizhzhya,36-59 years,,
2017,the belief that everyone can influence changes in the country,Zaporizhzhya,61 years and older,,
2018,the belief that everyone can influence changes in the country,Zaporizhzhya,61 years and older,,
2019,the belief that everyone can influence changes in the country,Zaporizhzhya,61 years and older,,
2020,the belief that everyone can influence changes in the country,Zaporizhzhya,61 years and older,,
2021,the belief that everyone can influence changes in the country,Zaporizhzhya,60 years and older,,
2022,the belief that everyone can influence changes in the country,Zaporizhzhya,60 years and older,,
2023,the belief that everyone can influence changes in the country,Zaporizhzhya,60 years and older,,
2017,the belief that everyone can influence changes in the country,Zaporizhzhya,,men,
2018,the belief that everyone can influence changes in the country,Zaporizhzhya,,men,
2019,the belief that everyone can influence changes in the country,Zaporizhzhya,,men,
2020,the belief that everyone can influence changes in the country,Zaporizhzhya,,men,
2021,the belief that everyone can influence changes in the country,Zaporizhzhya,,men,
2022,the belief that everyone can influence changes in the country,Zaporizhzhya,,men,
2023,the belief that everyone can influence changes in the country,Zaporizhzhya,,men,
2017,the belief that everyone can influence changes in the country,Zaporizhzhya,,women,
2018,the belief that everyone can influence changes in the country,Zaporizhzhya,,women,
2019,the belief that everyone can influence changes in the country,Zaporizhzhya,,women,
2020,the belief that everyone can influence changes in the country,Zaporizhzhya,,women,
2021,the belief that everyone can influence changes in the country,Zaporizhzhya,,women,
2022,the belief that everyone can influence changes in the country,Zaporizhzhya,,women,
2023,the belief that everyone can influence changes in the country,Zaporizhzhya,,women,
2017,the belief that everyone can influence changes in the country,Kharkiv,,,
2018,the belief that everyone can influence changes in the country,Kharkiv,,,
2019,the belief that everyone can influence changes in the country,Kharkiv,,,
2020,the belief that everyone can influence changes in the country,Kharkiv,,,
2021,the belief that everyone can influence changes in the country,Kharkiv,,,
2022,the belief that everyone can influence changes in the country,Kharkiv,,,
2023,the belief that everyone can influence changes in the country,Kharkiv,,,
2017,the belief that everyone can influence changes in the country,Kharkiv,18-35 years,,
2018,the belief that everyone can influence changes in the country,Kharkiv,18-35 years,,
2019,the belief that everyone can influence changes in the country,Kharkiv,18-35 years,,
2020,the belief that everyone can influence changes in the country,Kharkiv,18-35 years,,
2021,the belief that everyone can influence changes in the country,Kharkiv,18-35 years,,
2022,the belief that everyone can influence changes in the country,Kharkiv,18-35 years,,
2023,the belief that everyone can influence changes in the country,Kharkiv,18-35 years,,
2017,the belief that everyone can influence changes in the country,Kharkiv,36-60 years,,
2018,the belief that everyone can influence changes in the country,Kharkiv,36-60 years,,
2019,the belief that everyone can influence changes in the country,Kharkiv,36-60 years,,
2020,the belief that everyone can influence changes in the country,Kharkiv,36-60 years,,
2021,the belief that everyone can influence changes in the country,Kharkiv,36-59 years,,
2022,the belief that everyone can influence changes in the country,Kharkiv,36-59 years,,
2023,the belief that everyone can influence changes in the country,Kharkiv,36-59 years,,
2017,the belief that everyone can influence changes in the country,Kharkiv,61 years and older,,
2018,the belief that everyone can influence changes in the country,Kharkiv,61 years and older,,
2019,the belief that everyone can influence changes in the country,Kharkiv,61 years and older,,
2020,the belief that everyone can influence changes in the country,Kharkiv,61 years and older,,
2021,the belief that everyone can influence changes in the country,Kharkiv,60 years and older,,
2022,the belief that everyone can influence changes in the country,Kharkiv,60 years and older,,
2023,the belief that everyone can influence changes in the country,Kharkiv,60 years and older,,
2017,the belief that everyone can influence changes in the country,Kharkiv,,men,
2018,the belief that everyone can influence changes in the country,Kharkiv,,men,
2019,the belief that everyone can influence changes in the country,Kharkiv,,men,
2020,the belief that everyone can influence changes in the country,Kharkiv,,men,
2021,the belief that everyone can influence changes in the country,Kharkiv,,men,
2022,the belief that everyone can influence changes in the country,Kharkiv,,men,
2023,the belief that everyone can influence changes in the country,Kharkiv,,men,
2017,the belief that everyone can influence changes in the country,Kharkiv,,women,
2018,the belief that everyone can influence changes in the country,Kharkiv,,women,
2019,the belief that everyone can influence changes in the country,Kharkiv,,women,
2020,the belief that everyone can influence changes in the country,Kharkiv,,women,
2021,the belief that everyone can influence changes in the country,Kharkiv,,women,
2022,the belief that everyone can influence changes in the country,Kharkiv,,women,
2023,the belief that everyone can influence changes in the country,Kharkiv,,women,
2017,social tolerance,Donetsk,,,
2018,social tolerance,Donetsk,,,
2019,social tolerance,Donetsk,,,
2020,social tolerance,Donetsk,,,
2021,social tolerance,Donetsk,,,6.1
2022,social tolerance,Donetsk,,,
2023,social tolerance,Donetsk,,,
2017,social tolerance,Donetsk,18-35 years,,
2018,social tolerance,Donetsk,18-35 years,,
2019,social tolerance,Donetsk,18-35 years,,
2020,social tolerance,Donetsk,18-35 years,,
2021,social tolerance,Donetsk,18-35 years,,6.7
2022,social tolerance,Donetsk,18-35 years,,
2023,social tolerance,Donetsk,18-35 years,,
2017,social tolerance,Donetsk,36-60 years,,
2018,social tolerance,Donetsk,36-60 years,,
2019,social tolerance,Donetsk,36-60 years,,
2020,social tolerance,Donetsk,36-60 years,,
2021,social tolerance,Donetsk,36-59 years,,6.1
2022,social tolerance,Donetsk,36-59 years,,
2023,social tolerance,Donetsk,36-59 years,,
2017,social tolerance,Donetsk,61 years and older,,
2018,social tolerance,Donetsk,61 years and older,,
2019,social tolerance,Donetsk,61 years and older,,
2020,social tolerance,Donetsk,61 years and older,,
2021,social tolerance,Donetsk,60 years and older,,5.6
2022,social tolerance,Donetsk,60 years and older,,
2023,social tolerance,Donetsk,60 years and older,,
2017,social tolerance,Donetsk,,men,
2018,social tolerance,Donetsk,,men,
2019,social tolerance,Donetsk,,men,
2020,social tolerance,Donetsk,,men,
2021,social tolerance,Donetsk,,men,6.2
2022,social tolerance,Donetsk,,men,
2023,social tolerance,Donetsk,,men,
2017,social tolerance,Donetsk,,women,
2018,social tolerance,Donetsk,,women,
2019,social tolerance,Donetsk,,women,
2020,social tolerance,Donetsk,,women,
2021,social tolerance,Donetsk,,women,6.0
2022,social tolerance,Donetsk,,women,
2023,social tolerance,Donetsk,,women,
2017,social tolerance,Luhansk,,,
2018,social tolerance,Luhansk,,,
2019,social tolerance,Luhansk,,,
2020,social tolerance,Luhansk,,,
2021,social tolerance,Luhansk,,,6.4
2022,social tolerance,Luhansk,,,
2023,social tolerance,Luhansk,,,
2017,social tolerance,Luhansk,18-35 years,,
2018,social tolerance,Luhansk,18-35 years,,
2019,social tolerance,Luhansk,18-35 years,,
2020,social tolerance,Luhansk,18-35 years,,
2021,social tolerance,Luhansk,18-35 years,,6.8
2022,social tolerance,Luhansk,18-35 years,,
2023,social tolerance,Luhansk,18-35 years,,
2017,social tolerance,Luhansk,36-60 years,,
2018,social tolerance,Luhansk,36-60 years,,
2019,social tolerance,Luhansk,36-60 years,,
2020,social tolerance,Luhansk,36-60 years,,
2021,social tolerance,Luhansk,36-59 years,,6.6
2022,social tolerance,Luhansk,36-59 years,,
2023,social tolerance,Luhansk,36-59 years,,
2017,social tolerance,Luhansk,61 years and older,,
2018,social tolerance,Luhansk,61 years and older,,
2019,social tolerance,Luhansk,61 years and older,,
2020,social tolerance,Luhansk,61 years and older,,
2021,social tolerance,Luhansk,60 years and older,,6.0
2022,social tolerance,Luhansk,60 years and older,,
2023,social tolerance,Luhansk,60 years and older,,
2017,social tolerance,Luhansk,,men,
2018,social tolerance,Luhansk,,men,
2019,social tolerance,Luhansk,,men,
2020,social tolerance,Luhansk,,men,
2021,social tolerance,Luhansk,,men,6.4
2022,social tolerance,Luhansk,,men,
2023,social tolerance,Luhansk,,men,
2017,social tolerance,Luhansk,,women,
2018,social tolerance,Luhansk,,women,
2019,social tolerance,Luhansk,,women,
2020,social tolerance,Luhansk,,women,
2021,social tolerance,Luhansk,,women,6.5
2022,social tolerance,Luhansk,,women,
2023,social tolerance,Luhansk,,women,
2017,social tolerance,Dnipropetrovsk,,,
2018,social tolerance,Dnipropetrovsk,,,
2019,social tolerance,Dnipropetrovsk,,,
2020,social tolerance,Dnipropetrovsk,,,
2021,social tolerance,Dnipropetrovsk,,,
2022,social tolerance,Dnipropetrovsk,,,
2023,social tolerance,Dnipropetrovsk,,,
2017,social tolerance,Dnipropetrovsk,18-35 years,,
2018,social tolerance,Dnipropetrovsk,18-35 years,,
2019,social tolerance,Dnipropetrovsk,18-35 years,,
2020,social tolerance,Dnipropetrovsk,18-35 years,,
2021,social tolerance,Dnipropetrovsk,18-35 years,,
2022,social tolerance,Dnipropetrovsk,18-35 years,,
2023,social tolerance,Dnipropetrovsk,18-35 years,,
2017,social tolerance,Dnipropetrovsk,36-60 years,,
2018,social tolerance,Dnipropetrovsk,36-60 years,,
2019,social tolerance,Dnipropetrovsk,36-60 years,,
2020,social tolerance,Dnipropetrovsk,36-60 years,,
2021,social tolerance,Dnipropetrovsk,36-59 years,,
2022,social tolerance,Dnipropetrovsk,36-59 years,,
2023,social tolerance,Dnipropetrovsk,36-59 years,,
2017,social tolerance,Dnipropetrovsk,61 years and older,,
2018,social tolerance,Dnipropetrovsk,61 years and older,,
2019,social tolerance,Dnipropetrovsk,61 years and older,,
2020,social tolerance,Dnipropetrovsk,61 years and older,,
2021,social tolerance,Dnipropetrovsk,60 years and older,,
2022,social tolerance,Dnipropetrovsk,60 years and older,,
2023,social tolerance,Dnipropetrovsk,60 years and older,,
2017,social tolerance,Dnipropetrovsk,,men,
2018,social tolerance,Dnipropetrovsk,,men,
2019,social tolerance,Dnipropetrovsk,,men,
2020,social tolerance,Dnipropetrovsk,,men,
2021,social tolerance,Dnipropetrovsk,,men,
2022,social tolerance,Dnipropetrovsk,,men,
2023,social tolerance,Dnipropetrovsk,,men,
2017,social tolerance,Dnipropetrovsk,,women,
2018,social tolerance,Dnipropetrovsk,,women,
2019,social tolerance,Dnipropetrovsk,,women,
2020,social tolerance,Dnipropetrovsk,,women,
2021,social tolerance,Dnipropetrovsk,,women,
2022,social tolerance,Dnipropetrovsk,,women,
2023,social tolerance,Dnipropetrovsk,,women,
2017,social tolerance,Zaporizhzhya,,,
2018,social tolerance,Zaporizhzhya,,,
2019,social tolerance,Zaporizhzhya,,,
2020,social tolerance,Zaporizhzhya,,,
2021,social tolerance,Zaporizhzhya,,,
2022,social tolerance,Zaporizhzhya,,,
2023,social tolerance,Zaporizhzhya,,,
2017,social tolerance,Zaporizhzhya,18-35 years,,
2018,social tolerance,Zaporizhzhya,18-35 years,,
2019,social tolerance,Zaporizhzhya,18-35 years,,
2020,social tolerance,Zaporizhzhya,18-35 years,,
2021,social tolerance,Zaporizhzhya,18-35 years,,
2022,social tolerance,Zaporizhzhya,18-35 years,,
2023,social tolerance,Zaporizhzhya,18-35 years,,
2017,social tolerance,Zaporizhzhya,36-60 years,,
2018,social tolerance,Zaporizhzhya,36-60 years,,
2019,social tolerance,Zaporizhzhya,36-60 years,,
2020,social tolerance,Zaporizhzhya,36-60 years,,
2021,social tolerance,Zaporizhzhya,36-59 years,,
2022,social tolerance,Zaporizhzhya,36-59 years,,
2023,social tolerance,Zaporizhzhya,36-59 years,,
2017,social tolerance,Zaporizhzhya,61 years and older,,
